party,press_release,claim_number,references
Democratic,20220223-assemblymember-aguiar-curry-introduces-legislation-increase-voter.txt,8,0
Democratic,20220223-assemblymember-aguiar-curry-introduces-legislation-increase-voter.txt,9,0
Democratic,20220223-assemblymember-aguiar-curry-introduces-legislation-increase-voter.txt,10,0
Democratic,20220428-bill-protect-integrity-california-elections-foreign-influence-passes-out.txt,1,0
Democratic,20220428-bill-protect-integrity-california-elections-foreign-influence-passes-out.txt,2,0
Democratic,20220428-bill-protect-integrity-california-elections-foreign-influence-passes-out.txt,3,0
Democratic,20220428-bill-protect-integrity-california-elections-foreign-influence-passes-out.txt,4,0
Democratic,20220428-bill-protect-integrity-california-elections-foreign-influence-passes-out.txt,5,0
Democratic,20220428-bill-protect-integrity-california-elections-foreign-influence-passes-out.txt,6,0
Democratic,20220428-bill-protect-integrity-california-elections-foreign-influence-passes-out.txt,7,0
Democratic,20220428-bill-protect-integrity-california-elections-foreign-influence-passes-out.txt,8,0
Democratic,20220428-bill-protect-integrity-california-elections-foreign-influence-passes-out.txt,9,0
Democratic,20220428-bill-protect-integrity-california-elections-foreign-influence-passes-out.txt,10,0
Democratic,20220428-bill-protect-integrity-california-elections-foreign-influence-passes-out.txt,11,0
Democratic,20220428-bill-protect-integrity-california-elections-foreign-influence-passes-out.txt,12,0
Democratic,20220428-bill-protect-integrity-california-elections-foreign-influence-passes-out.txt,13,0
Democratic,20220721-bennett-limon-bill-restrict-gun-sales-ventura-county-fairground-signed.txt,1,0
Democratic,20220721-bennett-limon-bill-restrict-gun-sales-ventura-county-fairground-signed.txt,2,0
Democratic,20220721-bennett-limon-bill-restrict-gun-sales-ventura-county-fairground-signed.txt,3,0
Democratic,20220721-bennett-limon-bill-restrict-gun-sales-ventura-county-fairground-signed.txt,4,0
Democratic,20220721-bennett-limon-bill-restrict-gun-sales-ventura-county-fairground-signed.txt,5,0
Democratic,20220721-bennett-limon-bill-restrict-gun-sales-ventura-county-fairground-signed.txt,6,0
Democratic,20220721-bennett-limon-bill-restrict-gun-sales-ventura-county-fairground-signed.txt,7,0
Democratic,20220721-bennett-limon-bill-restrict-gun-sales-ventura-county-fairground-signed.txt,8,0
Democratic,20220830-ca-lawmakers-pass-ab-1322-meeting-governor-newsoms-challenge-aggressively.txt,1,0
Democratic,20220830-ca-lawmakers-pass-ab-1322-meeting-governor-newsoms-challenge-aggressively.txt,2,0
Democratic,20220830-ca-lawmakers-pass-ab-1322-meeting-governor-newsoms-challenge-aggressively.txt,3,0
Democratic,20220830-ca-lawmakers-pass-ab-1322-meeting-governor-newsoms-challenge-aggressively.txt,4,0
Democratic,20220830-ca-lawmakers-pass-ab-1322-meeting-governor-newsoms-challenge-aggressively.txt,5,0
Democratic,20220830-ca-lawmakers-pass-ab-1322-meeting-governor-newsoms-challenge-aggressively.txt,6,0
Democratic,20220907-assemblymember-alex-lee-announces-additional-138-million-secured-fund-local.txt,1,0
Democratic,20220907-assemblymember-alex-lee-announces-additional-138-million-secured-fund-local.txt,2,0
