source,filename,document_date,num_sentences,ai_statement_count,matched_ai_terms,unique_urls_count,unique_dois_count,unique_arxiv_count,has_ai
Democratic Assembly,20170131-gipson-receives-high-score-environmental-policy.txt,,14,0,,0,0,0,False
Democratic Assembly,20170201-assemblymember-cecilia-aguiar-curry-introduces-bill-make-english-learners.txt,,21,0,,0,0,0,False
Democratic Assembly,20170207-californias-veterans-and-homeless-assisted-assemblywoman-quirk-silva.txt,,15,0,,0,0,0,False
Democratic Assembly,20170209-gipson-bill-raise-revenue-sanctuary-cities-targeted-federal-government.txt,,17,0,,0,0,0,False
Democratic Assembly,20170209-gipson-introduces-mobilehome-park-owner-disclosure-act.txt,,15,0,,0,0,0,False
Democratic Assembly,20170209-muratsuchi-colleagues-raise-concerns-assembly-labor-committee-hearing.txt,"February 18, 2015",23,0,,0,0,0,False
Democratic Assembly,20170210-muratsuchi-introduces-ab-461-provide-student-loan-debt-relief.txt,,13,0,,0,0,0,False
Democratic Assembly,20170213-assembly-jobs-committee-opens-dialogue-stakeholders.txt,,15,0,,0,0,0,False
Democratic Assembly,20170213-assemblymember-cecilia-aguiar-curry-introduces-bill-help-small-businesses.txt,"January 1, 2018",23,0,,0,0,0,False
Democratic Assembly,20170213-assemblywoman-quirk-silva-asks-day-remembrance-incarceration-japanese.txt,"February 19, 2017",25,0,,0,0,0,False
Democratic Assembly,20170213-muratsuchi-resolution-recognizes-75th-anniversary-executive-order-9066.txt,"February 19, 2017",33,0,,0,0,0,False
Democratic Assembly,20170214-compton-community-college-district-gains-independence-and-moves-toward.txt,,20,0,,0,0,0,False
Democratic Assembly,20170214-quirk-silva-champions-push-affordable-housing.txt,,18,0,,0,0,0,False
Democratic Assembly,20170217-muratsuchi-announces-plan-jobs-and-safety.txt,,25,0,,0,0,0,False
Democratic Assembly,20170220-assemblywoman-quirk-silva-and-cfa-announce-bill-freezes-cost-public.txt,,16,0,,0,0,0,False
Democratic Assembly,20170221-assemblymember-aguiar-curry-introduces-constitutional-amendment-drive-local.txt,,25,0,,0,0,0,False
Democratic Assembly,20170223-assemblymember-muratsuchi-releases-statement-torrance-refinery-fire-and.txt,,6,0,,0,0,0,False
Democratic Assembly,20170223-assemblywoman-quirk-silva-presses-resolution-after-anaheim-discord.txt,,9,0,,0,0,0,False
Democratic Assembly,20170224-assemblymember-kalra-announces-list-emergency-service-resources-response.txt,"February 25, 2017",134,1,ai,0,0,0,True
Democratic Assembly,20170227-gipson-selects-bridge-builder-ad64-woman-year.txt,,18,0,,0,0,0,False
Democratic Assembly,20170227-more-ever-listening-other-points-view-critical.txt,,21,0,,0,0,0,False
Democratic Assembly,20170228-assemblymember-berman-responds-bomb-threat-palo-alto.txt,,23,0,,0,0,0,False
Democratic Assembly,20170228-democratic-caucus-chair-responds-trumps-joint-address-congress.txt,,7,0,,0,0,0,False
