,name,district,title,link,date,party
3778,Cottie Petrie-Norris,73,State Assembly Declares March 2nd Read Across America Day,https://a73.asmdc.org/press-releases/20190228-state-assembly-declares-march-2nd-read-across-america-day,"Thursday, February 28, 2019",Democrat
3779,Cottie Petrie-Norris,73,Statement from Assemblywoman Cottie Petrie-Norris on Lawsuit Against Huntington Beach,https://a73.asmdc.org/press-releases/20190128-statement-assemblywoman-cottie-petrie-norris-lawsuit-against-huntington,"Monday, January 28, 2019",Democrat
3780,Cottie Petrie-Norris,73,Petrie-Norris Takes Oath as Newest Assemblymember for 74th District,https://a73.asmdc.org/press-releases/20181203-petrie-norris-takes-oath-newest-assemblymember-74th-district,"Sunday, December 2, 2018",Democrat
3790,Tasha Boerner,77,"Padres Foundation, San Diego Unified School District, San Diego Youth Services, Cox Communications, & Assemblymember Boerner Collaborate for Backpack Giveaway",https://a77.asmdc.org/press-releases/20250806-padres-foundation-san-diego-unified-school-district-san-diego-youth,"Wednesday, August 6, 2025",Democrat
3791,Tasha Boerner,77,Statement on Status of Bill on Affordable Home Internet,https://a77.asmdc.org/press-releases/20250711-statement-status-bill-affordable-home-internet,"Friday, July 11, 2025",Democrat
3792,Tasha Boerner,77,First in the Nation Ban on Plastic Microbeads in Personal Products Passes Senate Committee,https://a77.asmdc.org/press-releases/20250702-first-nation-ban-plastic-microbeads-personal-products-passes-senate,"Wednesday, July 2, 2025",Democrat
3793,Tasha Boerner,77,Assemblymember Boerner Recognizes San Diego Botanic Garden for California Nonprofits Day,https://a77.asmdc.org/press-releases/20250523-assemblymember-boerner-recognizes-san-diego-botanic-garden-california,"Friday, May 23, 2025",Democrat
3794,Tasha Boerner,77,San Diego State & County Leaders Unite to Crack Down on Child Sex Trafficking,https://a77.asmdc.org/press-releases/20250515-san-diego-state-county-leaders-unite-crack-down-child-sex-trafficking,"Thursday, May 15, 2025",Democrat
3795,Tasha Boerner,77,Assemblymember Boerner Broadband Internet Affordability Bill Advances,https://a77.asmdc.org/press-releases/20250430-assemblymember-boerner-broadband-internet-affordability-bill-advances,"Wednesday, April 30, 2025",Democrat
3796,Tasha Boerner,77,Assemblymember Boerner Honors San Diego Women for  International Women’s Day,https://a77.asmdc.org/press-releases/20250308-assemblymember-boerner-honors-san-diego-women-international-womens-day,"Saturday, March 8, 2025",Democrat
3797,Tasha Boerner,77,California Moves to Ban Toxic Plastic Microbeads in Cleaning Products and Coatings,https://a77.asmdc.org/press-releases/20250221-california-moves-ban-toxic-plastic-microbeads-cleaning-products-and,"Friday, February 21, 2025",Democrat
3798,Tasha Boerner,77,Assemblymember Boerner Addresses Broadband Internet Affordability,https://a77.asmdc.org/press-releases/20250130-assemblymember-boerner-addresses-broadband-internet-affordability,"Thursday, January 30, 2025",Democrat
3799,Tasha Boerner,77,Assemblymember Boerner's Statement on the Trump Administration's Attack on Federal Grants,https://a77.asmdc.org/press-releases/20250128-assemblymember-boerners-statement-trump-administrations-attack-federal,"Tuesday, January 28, 2025",Democrat
3800,Tasha Boerner,77,Assemblymember Boerner Launches E-Bike Incentive Program,https://a77.asmdc.org/press-releases/20241218-assemblymember-boerner-launches-e-bike-incentive-program,"Wednesday, December 18, 2024",Democrat
