source,filename,document_date,num_sentences,num_mentions,num_ai_mentions,num_science_mentions,num_claim_like,unique_urls_count,unique_dois_count,unique_arxiv_count,unique_other_refs_count,has_any_reference
Democratic Assembly,20170511-gipson-announces-letter-writing-campaign-advance-possible-vote-gut-aca.txt,,16,7,7,1,0,0,0,0,0,False
Democratic Assembly,20170511-gipson-encouraged-over-latest-state-budget.txt,,6,3,2,2,0,0,0,0,0,False
Democratic Assembly,20170511-quirk-silva-leads-governor-brown-tour-proposed-orange-county-veteran.txt,,10,4,4,0,0,0,0,0,0,False
Democratic Assembly,20170516-muratsuchi-introduces-bill-calling-3-million-education-grants-civil.txt,,35,8,7,1,0,0,0,0,0,False
Democratic Assembly,20170517-edegeideg-i-ie-i-12-iedeg-e3ice.txt,,6,0,0,0,0,0,0,0,0,False
Democratic Assembly,20170517-iedegi-iiyemdegi-ei-idegi-i2-i-i.txt,,6,1,1,0,0,0,0,0,0,False
Democratic Assembly,20170522-assemblymember-arambula-applauds-restoration-money-future-farmers-america.txt,,32,6,1,5,0,4,0,0,0,True
Democratic Assembly,20170522-berman-responds-federal-transit-administrations-approval-fund-caltrain.txt,,13,4,4,0,0,0,0,0,0,False
Democratic Assembly,20170523-assemblymember-arambula-presents-bill-increase-funding-citrus-diseases.txt,,27,5,1,4,0,4,0,0,0,True
Democratic Assembly,20170523-gipson-names-los-tres-cochinitos-small-business-year.txt,"June 5, 2017",19,2,2,0,0,0,0,0,0,False
Democratic Assembly,20170525-assemblymember-ash-kalra-responds-failure-bill-restricting-predatory.txt,,21,6,3,2,1,0,0,0,1,True
Democratic Assembly,20170525-california-assembly-gives-thumbs-gipsons-budget-request-compton-community.txt,"February 14, 2017",18,8,8,1,0,0,0,0,0,False
Democratic Assembly,20170525-quirk-silva-funds-orange-county-veteran-cemetery.txt,,8,0,0,0,0,0,0,0,0,False
Democratic Assembly,20170526-assembly-budget-committee-approves-175-million-hunger-prevention-plan.txt,,30,8,2,4,2,3,0,0,0,True
Democratic Assembly,20170529-quirk-silva-bill-give-tax-cuts-small-businesses-passes-assembly-floor.txt,,23,4,4,0,0,0,0,0,0,False
Democratic Assembly,20170529-quirk-silva-calls-out-orange-county-veteran-cemetery-opposition.txt,,17,7,6,0,1,0,0,0,0,False
Democratic Assembly,20170530-assemblymember-al-muratsuchis-assembly-bill-ab-461-which-will-exclude.txt,,11,3,3,0,0,0,0,0,0,False
Democratic Assembly,20170531-assemblymember-al-muratsuchis-assembly-bill-ab-1647-which-will-require.txt,,25,6,6,0,0,0,0,0,0,False
Democratic Assembly,20170531-quirk-silvaas-west-coyote-hills-open-space-act-passes-assembly-floor.txt,,15,3,3,0,0,0,0,0,0,False
Democratic Assembly,20170601-assembly-bill-ab-491-which-establishes-3m-education-grants-wwii-japanese.txt,,19,5,5,0,0,0,0,0,0,False
